ID,ESTABELECI,ENDERECO,LAT,LONG,BAIRRO
455,N SRA DO PARI-HOSP E MATERN,"HAHNEMANN,R,234",-23531306,-46620656,PARI
456,REGIONAL SUL-HOSP/ AMB HOSP,"ROBERTO ALVES DE CARVALHO F,GAL,AV,270",-23655096,-46705417,STO  AMARO
457,S PAULO-HOSP UNIFESP,"NAPOLEAO DE BARROS,R,715",-23597158,-46643223,V CLEMENTINO
458,SAMARITANO-HOSP,"BROTERO,CONS,1486",-23538846,-46661309,HIGIENOPOLIS
459,SANTA MARCELINA-HOSP,"SANTA MARCELINA,R,177",-23553566,-46460882,V CARMOSINA
460,SAO CAMILO SANTANA - HOSP E MATERN,"VOLUNTARIOS DA PATRIA,R,3693",-23487140,-46626863,SANTANA
461,SERVIDOR PUBLICO ESTADUAL-HOSP,"PEDRO DE TOLEDO,R,1800",-23596622,-46653654,V CLEMENTINO
462,SERVIDOR PUBLICO MUNICIPAL - HOSP,"CASTRO ALVES,R,60",-23566982,-46638630,ACLIMACAO
463,STA CASA DE SANTO AMARO-HOSP,"ISABEL SCHMIDT,59",-23649638,-46704747,STO  AMARO
464,STA CASA DE SAO PAULO-HOSP CENTRAL,"CESARIO MOTA JR,DR,R,112",-23541966,-46648704,CONSOLACAO
465,STA CRUZ-HOSP,"SANTA CRUZ,R,398",-23596644,-46632362,V MARIANA
466,TIDE SETUBAL-HOSP,"JOSE GUILHERME EIRAS,DR,R,123",-23496638,-46439508,S M PAULISTA
467,UNIVERSITARIO (MEC MPAS) - HOSP,"LINEU PRESTES,PROF,AV,2565",-23564487,-46740303,BUTANTA
468,V ALPINA-HOSPITAL (SECONCI),"FRANCISCO FALCONI,R,1501",-23592989,-46561359,V ALPINA
469,V PENTEADO DR JOSE PANGELLA-HOSP,"PETRONIO PORTELA,MIN,AV,1642",-23484736,-46694858,ITABERABA
470,VITAL BRASIL-HOSP,"VITAL BRASIL,AV,1500",-23567978,-46716309,BUTANTA
471,"WALDOMIRO DE PAULA,PROF-HOSP","AUGUSTO CARLOS BAUMANN,R,1074",-23530669,-46444300,ITAQUERA
472,ADOLFO LUTZ - INSTITUTO,"ARNALDO,  AV,DR, 355",-23554927,-46668483,CONSOLACAO
473,CLEMENTE FERREIRA DIV TISIOLOGIA-INSTITUTO,"CONSOLACAO,DA,R, 717",-23547616,-46647963,CONSOLACAO
474,INSTITUTO PAULISTA GERI E GERONT JOSE MORAES - IPGG,"ALEIXO MONTEIRO MAFRA,PE,PCA,34",-23490746,-46445253,S M PAULISTA
475,PASTEUR - INSTITUTO,"PAULISTA,AV,393",-23568781,-46647454,CERQUEIRA CESAR
476,LAPA-LABORATORIO MUNICIPAL,"QUEIROZ FILHO, AV,313",-23537038,-46722018,PQ. DA LAPA
477,N SRA DO O-LABORATORIO MUNICIPAL,"ITABERABA,AV,1377",-23489709,-46694171,FREGUESIA DO  O
478,REGIAO SUDESTE -LABORATORIO MUNICIPAL,"MARCHETTI , PE,R, 557",-23587761,-46608058,IPIRANGA
479,S MIGUEL PAULISTA-LABORATORIO  II,"MARIA SANTANA, AV. 101",-23509494,-46446384,JD STA MARIA
480,SANTO AMARO- LABORATORIO,"PAULA CRUZ,R,71",-23650088,-46715338,JD. DOM BOSCO
481,ZONA NORTE - CENTRO DE ANALISES CLINICAS,"VOLUNTARIOS DA PATRIA,4301",-23484349,-46630870,SANTANA
482,ZONA SUL - CENTRO DE ANALISES CLINICAS,"NOSSA SENHORA DO SABARA,AV,234",-23659600,-46696838,CAMPO GRANDE
483,ZOONOSES E DOENCAS TRANSMISSIVEIS POR VETORES - LAB,"EUL-LIA, STA,R 86",-23511912,-46627105,SANTANA
484,SAO MATEUS -CR PRATICAS MEDICINAIS NATURAIS,"AURELIANO DA SILVA ARRUDA,DR,R,403",-23598174,-46482734,CID. SAO MATEUS
485,CENTRO - UNIDADE DE MEDICINAS TRADICIONAIS,"FREDERICO ALVARENGA,R,259, 3 AND",-23550525,-46627859,PQ. D. PEDRO
486,ACDEM - NIR,"MIGUEL RACHID,596",-23493325,-46472928,V PARANAGU-
487,"ARMANDO DE AGUIAR PUPO,DR - APD CER","NOVA CANTAREIRA,AV,1476",-23482098,-46612505,TUCURUVI
488,CARANDIRU- NIR,"JOSE PEREIRA JORGE,R,305",-23503837,-46610494,CARANDIRU
489,CIDADE TIRADENTES - NIR,"FERNANDO GANGA,R,14",-23600739,-46398526,CIDADE TIRADENTES
491,FREGUESIA DO O BRASILANDIA - NIR,"MARINA, STA,AV,2147",-23505513,-46693556,FREGUESIA
492,JACANA-NIR,"SAO GERALDINO,R,222",-23474310,-46580114,V CONSTANCA
493,JD CLIPPER-NIR,"CARLOS PEZZOLO,DR,S/N",-23722254,-46704621,PQ ESMERALDA
494,JD GUANABARA- NIR,"PETRONIO PORTELA,MIN,AV,663",-23492812,-46700579,FREGUESIA DO O
495,JD PERI PERI-NIR,"JOAO GUERRA,R,247",-23586132,-46731959,JD. PERI PERI
496,JD SOARES- NIR,"FELICIANO DE MENDONCA,R,496",-23553491,-46398068,JD. SOARES
497,JOSE BONIFACIO IV- NIR,"ANDREAS AMON,R,150",-23553169,-46434612,COHAB JOSE BONIFACIO
498,LAR VICENTINO - NIR,"OVIDIO LOPES,253",-23497115,-46481445,PQ BOTURUSSU
499,"MARIA CECILIA F DONNANGELO,PROFA-NIR","RUI DE MORAIS APOCALIPSE,R,2",-23472919,-46684432,BRASILANDIA
500,PARELHEIROS - NIR,"TEOTONIO VILELA,SEN,AV,8895",-23770029,-46717470,PARELHEIROS
501,PERUS-NIRAE,"JULIO DE OLIVEIRA,R,80",-23403315,-46737938,V FLAMENGO
502,PQ  LAPA DR. FERNANDO RAMIRES CRUZ - NIR,"GAVIAO PEIXOTO,BRIG,727",-23524112,-46716684,LAPA
503,PQ ARTUR ALVIM - NIR,"HENRIQUE JACOBS,R,269",-23537205,-46491452,ARTHUR ALVIM
504,SAPOPEMBA - NIR,"JOAO LOPES DE LIMA,R,1151",-23611267,-46492813,JD. SAPOPEMBA
505,TITO LOPES DA SILVA -NIR,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",-23496403,-46440472,V AMERICANA
506,UNIAO DAS VILAS DE TAIPAS - NIR,"ELISIO TEIXEIRA LEITE,AV,7703",-23434929,-46717684,PARADA DE TAIPAS
507,V N SRA APARECIDA- NIR,"PAULINO SERQUEIRA,R,01",-23533676,-46442459,ITAQUERA
508,VILA CARRAO - NIR DR. ADHEMAR MONTEIRO PACHECO,"JACI BARBOSA,DR,R,280",-23552513,-46524187,CARRAOZINHO
509,"ARMANDO DE AGUIAR PUPO,DR -  NISA","NOVA CANTAREIRA,AV,1476",-23482098,-46612505,TUCURUVI
510,FERNANDO RAMIREZ CRUZ - NISA,"BRIG GAVI´?¢O PEIXOTO, R.727",-23524112,-46716684,LAPA
511,"ITALO DOMIGOS LE VOCCI,DR- NISA  (MOOCA)","MARINA CRESPI,R,91",-23555510,-46603666,MOOCA
512,JD PERI PERI-NISA,"JOAO GUERRA,R,247",-23586132,-46731959,JD. PERI PERI
513,"MILTON ALDRED,DR- NISA","SAO CAETANO DO SUL,R,381",-23755005,-46685595,GRAJAU
514,PIRITUBA - NISA,"MENOTTI LAUDISIO,AV,100",-23484117,-46727089,PIRITUBA
515,TITO LOPES DA SILVA - NISA,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",-23496403,-46440472,V AMERICANA
516,V N SRA APARECIDA-NISA,"PAULINO SERQUEIRA,R,01",-23533676,-46442459,ITAQUERA
517,"WALTER ELIAS,DR- CASA VERDE BAIXA NISA","MOURAO VIEIRA,R,11",-23508741,-46663549,CASA VERDE
518,A E CARVALHO-ESF,"JAPANI,R,7",-23538741,-46475762,CID AE CARVALHO
519,ABADS - ASSOCIACAO BRASILEIRA DE ASSISTENCIA DESENVOLVIMENTO SOCIAL,"MORVAN DIAS DE FIGUEIREDO, AV., 2801",-23521236,-46602413,VILA GUILHERME
520,AGUA FUNDA-ESF,"ROSA DE MORAIS,R,91",-23629857,-46625849,V  AGUA FUNDA
521,AGUA FUNDA-NASF,"ROSA DE MORAIS,R,91",-23629857,-46625849,V  AGUA FUNDA
522,ALEXANDRE KALIL - SAD,"CECI,AV,2235",-23628113,-46645846,PLANALTO PAULISTA
523,"ALIPIO CORREA NETO,DR-SAD","RODRIGO DE BRUN,AL,1989",-23499140,-46472507,ERM MATARAZZO
524,ALMIRANTE DELAMARE - NASF,"MARIATH,ALM,R,62",-23603258,-46595504,V HELIOPOLIS
525,ALTO DO UMUARAMA-NASF,"ODEMIS,R,468",-23645701,-46772115,JD UMUARAMA
526,AMERICANOPOLIS-ESF,"CIDADE DE SANTOS,R,46",-23664546,-46643606,JABAQUARA
527,ANTONIO B DE OLIVEIRA - ESF,TEREZA MAIA PINTO,-23647799,-46753702,VILA PREL
528,"ANTONIO P FERREIRA VILA LOBOS,DR-ESF","COELHO DE CASTRO,R,95",-23546886,-46499782,V  NHOCUNE
529,APD TATUAPE - DR. SALOMAO CROCHIK,"PRA´?¢A MANOEL BORGES DE SOUZA NUNESXR.BOM SUCESSO,650",-23545780,-46575450,TATUAPE
530,ARMANDO DARIENZO-CONS. RUA,"MARQUES LEAO,ALM,R,684",-23562163,-46648857,MORRO DOS INGLESES
531,ARMANDO DARIENZO-CONS. RUA EQUIPE,"MARQUES LEAO,ALM,R,684",-23562163,-46648857,MORRO DOS INGLESES
532,ARMANDO DARIENZO-ESF,"MARQUES LEAO,ALM,R,684",-23562163,-46648857,MORRO DOS INGLESES
533,ARMANDO DARIENZO-NASF,"MARQUES LEAO,ALM,R,684",-23562163,-46648857,MORRO DOS INGLESES
534,ARMANDO DARIENZO-PAI,"MARQUES LEAO,ALM,R,684",-23562163,-46648857,MORRO DOS INGLESES
535,ASSOCIACAO PAULISTA DE HOMEOPATIA,"DR DIOGO DE FARIA, R., 839",-23595438,-46644375,VILA CLEMENTINO
536,"ATUALPA GIRAO RABELO,DR-ESF","ILHA DO ARVOREDO,R,10",-23507804,-46395525,V  MORGADOURO
537,"AUGUSTO L A GALVAO,DR- NASF","JOAQUINA MARIA SANTOS,R,198",-23469869,-46673488,V RICA
538,BANCO DE OLHOS DE SAO PAULO SC - SAO PAULO,"CELSO GARCIA, AV. 4815",-23532816,-46565873,TATUAPE
539,BELENZINHO MARCUS WOLOSKER-CONS RUA ATIVIDADE/UBS,"CELSO GARCIA,AV,1749",-23536554,-46595127,CHACARA TATUAPE
540,BELENZINHO MARCUS WOLOSKER-CONS RUA EQUIPE/UBS,"CELSO GARCIA,AV,1749",-23536554,-46595127,CHACARA TATUAPE
541,BELENZINHO MARCUS WOLOSKER-ESF/,"CELSO GARCIA,AV,1749",-23536554,-46595127,CHACARA TATUAPE
542,BRASILIA - M'BOI NASF,"MAPORE,R,352",-23653172,-46744962,JD. SAO LUIZ
543,BUTANTA - SAD,"CABRAL DE MENEZES,R,51",-23576598,-46733746,V GOMES
544,CAMBUCI-ESF,"LACERDA FRANCO,AV,791",-23569025,-46622997,SE
545,CAMPOS ELISEOS-CONS RUA ATIV,"CLEVELAND,R,374",-23531379,-46641282,CAMPOS ELISEOS
546,CARLOS GENTILE DE MELO-NASF,"TEXTEIS,DOS,AV,3765",-23588073,-46396064,CIDADE TIRADENTES
547,CARMEN PRUDENTE -  SAD,"METALURGICOS,DOS,AV,1797",-23596478,-46403315,CIDADE TIRADENTES
548,"CARMINO CARICCHIO,DR-SAD","CELSO GARCIA,AV,4815",-23532816,-46565873,TATUAPE
549,CASA VERDE CACHOEIRINHA LIMAO - PAI,"SETE DE DEZEMBRO,R,72",-23467198,-46657993,
550,"CELSO AUGUSTO DANIEL,PREF-NASF","JORGE MARACCINI PONFILIO,R,S/N",-23562924,-46396326,CONJ.HAB.JUCEL.KUBIT
551,CENESUL CENTRO DE NEFROLOGIA ZONA SUL,"SANTO AMARO, AV.,2524",-23605671,-46675400,VILA OLIMPIA
552,CHACARA DO CONDE - NASF,"CONSTELACAO DO ESQUADRO,R,5",-23770364,-46704852,JD. CAMPINAS
553,CHACARA INGLESA-SAD,"LIGACAO,DA,R,95",-23493315,-46724836,CHACARA INGLESA
554,CHACARA SANTANA-NASF,"BALTAZAR DE SA,R,383",-23671269,-46746592,CHACARA SANTANA
555,CIDADE ADEMAR - PAI,"SEBASTIAO ANDRADE BONANI,R,340",-23655083,-46671273,JD PROMISSAO
556,CIDADE IPAVA - NASF,"TAQUANDAVA,AV,31",-23719939,-46764276,CIDADE IPAVA
557,CIDADE NOVA SAO MIGUEL-NASF,"MOACIR D. ITAPICURU,1008",-23504474,-46433011,CIDADE NOVA S MIGUEL
558,CIDADE PATRIARCA-SAD,"FREDERICO BROTERO,DR,R,22",-23535668,-46503068,JD TRIANA
559,CLINEFRO CLINICA NEFROLOGICA,"PROFESSOR ENEAS DE SIQUEIRA NETO, R., 549",-23729020,-46710050,JARDIM DAS IMBUIAS
560,CLINICA DE NEFROLOGIA RENALCLASS,"MATO GROSSO, R., 306",-23548811,-46658531,HIGIENOPOLIS
561,CLINICA NEFROLOGICA DO ITAIM PAULISTA,"MARECHAL TITO, AV.,5483",-23496430,-46392800,ITAIM PAULISTA
562,CNTT CLINICA NEFROLOGICA,"FELIPE CAMARAO, R.,215",-23536531,-46578430,TATUAPE
563,CONS RUA  BARRA FUNDA,"ABRAHAO RIBEIRO,283",-23521099,-46658680,BARRA FUNDA
564,CONS RUA  HUMAITA,"HUMAITA,R,520",-23556468,-46641553,BELA VISTA
565,CONS RUA ATIVIDADE - JOSE DE BARROS MAGALDI,"SALVADOR CARDOSO,R,177",-23587193,-46684651,ITAIM BIBI
566,CONS RUA EQUIPE -JOSE DE BARROS MAGALDI,"SALVADOR CARDOSO,R,177",-23587193,-46684651,ITAIM BIBI
567,CONSULTORIO NA RUA - BORACEA,"BORACEA,R,270",-23524356,-46651286,SANTA CECILIA
568,CONSULTORIO NA RUA ATIV REPUBLICA,"BANDEIRA, PRACA DA, 15",-23549916,-46639666,REPUBLICA
569,CONSULTORIO NA RUA- BORACEA,"BORACEA,R,270",-23524356,-46651286,SANTA CECILIA
570,CONSULTORIO NA RUA EQUIPE REPUBLICA,"BANDEIRA, PRACA DA, 15",-23549916,-46639666,REPUBLICA
571,COSTA MELLO-NASF,"LUIS ASSON,165",-23514631,-46512704,V MONTEVIDEO
572,CRUZ DAS ALMAS-NASF,"FELICIANO DOMINGUES,PE,R,90",-23483349,-46702714,V  IORIO
573,CUPECE-ESF,"SANTA CATARINA,AV,1523",-23647305,-46661834,V STA CATARINA
574,DOM JOAO NERY-NASF,"JOAO NERY,D,ESTR,3462",-23522490,-46398862,JD NAZARE
575,DOMINGOS DELASCIO - PAI,"FAROL PAULISTANO,R,410",-23570175,-46575142,JD ITALIA
576,DOMINGOS MANTELLI - ESF,"POVOADO DO RIO NOVO,R,1778",-23469815,-46720918,V MIRANTE
577,"EDUARDO R RESCHILIAN,DR-ESF","LAFAIETE DE SOUZA CAMARGO,DR,R,40",-23638072,-46605600,JD. CLIMAX
578,ELISIO TEIXEIRA LEITE-NASF,"JOAO AMADO COUTINHO,R,400",-23445946,-46713901,JARAGUA
579,ERMELINO MATARAZZO-SAD,"ANTONIO DE FREITAS TOLEDO, R., 170",-23488993,-46476222,ERMELINO MATARAZZO
580,FAZENDA DA JUTA I-NASF,"LEVI LANDAU,R,23",-23623076,-46492738,FAZENDA DA JUTA
581,FERNANDO MAURO P DA ROCHA - SAD,"TEREZA M. OLIVEIRA, R,17/ ITAPECERICA, ESTR,1661",-23648271,-46748602,V  MARACANA
582,FRANCISCO A CESARONI(JD S PEDRO)- SAD,"SILVIANOPOLIS,R,370",-23547829,-46429646,JD. SAO PEDRO
583,FREGUESIA DO O BRASILANDIA -APD,"MARINA, STA,AV,2147",-23505513,-46693556,FREGUESIA
584,FUND SAO PAULO - DERDIC,"DRA NEYDE APARECIDA SOLLITTO, R., 435",-23593107,-46648846,VILA CLEMENTINO
585,GAIVOTAS-NASF,"SAO PAULO,AV, 23-A",-23734112,-46660602,JD GAIVOTA
586,GAN GRUPO DE APOIO NEFROLOGICO,"PAULISTA, AV. 200",-23569132,-46644886,CERQUEIRA CESAR
587,GERALDO H P DE SOUZA-CONS RUA ATIV/CS II,"ARNALDO,DR,AV,925",-23552949,-46673086,PACAEMBU
588,GRAFICOS-NASF,"FRANCISCO JOSE VIANA,R,708",-23610905,-46396397,CIDADE TIRADENTES
589,"GUILHERME H PINTO COELHO,ENG V DALVA-ESF","GUSTAVO BERTHIER,AV,155",-23562371,-46764239,V DALVA
590,HELIO MOREIRA SALLES-NASF,"POEMA DAS AMERICAS,R,12",-23600493,-46507678,JD DOS EUCALIPTOS
591,HOME DIALYSIS,"DR LUIZ CARLOS, R., 747",-23534172,-46543663,VILA ARICANDUVA
592,HORIZONTE AZUL-NASF,"ALBERGATE CAPANELLI,R,2200",-23747177,-46776754,HORIZONTE AZUL
593,HOSP SAO JORGE - SERV NEFROLOGICOS,"BRIGADEIRO LUIS ANTONIO, AV., 4667",-23581709,-46665779,VILA PRIMAVERA
594,HUMAITA - ESF/,"HUMAITA,R,520",-23556468,-46641553,BELA VISTA
595,"HUMBERTO PASCALI,DR  STA CECILIA- CONS RUA EQUIPE/UBS","VITORINO CARMILO,R,599",-23531575,-46651898,CAMPOS ELISEOS
596,"HUMBERTO PASCALI,DR  STA CECILIA-APD","VITORINO CARMILO,R,599",-23531575,-46651898,CAMPOS ELISEOS
597,"HUMBERTO PASCALI,DR  STA CECILIA-CONS RUA ATIV/UBS","VITORINO CARMILO,R,599",-23531575,-46651898,CAMPOS ELISEOS
598,"HUMBERTO PASCALI,DR  STA CECILIA-ESF","VITORINO CARMILO,R,599",-23531575,-46651898,CAMPOS ELISEOS
599,"HUMBERTO PASCALI,DR  STA CECILIA-PAI","VITORINO CARMILO,R,599",-23531575,-46651898,CAMPOS ELISEOS
600,"IGNACIO PROENCA DE GOUVEA,DR-SAD","JUVENTUS,R,562",-23571287,-46589869,MOOCA
601,IGUACU-NASF,"ORATORIO,DO,AV,6557",-23612501,-46522494,V INDUSTRIAL
602,INST DE NEFROLOGIA DE SAO PAULO,"BRAGAN´?¢A PAULISTA, R., 718",-23640745,-46716228,VILA DO CRUZEIRO
603,INSTITUTO DA VISAO - V CARMOSINA,"PORTO XAVIER, R. 66",-23541376,-46454548,VILA CARMOSINA
604,INSTITUTO DA VISAO - V CLEMENTINO,"BOTUCATU, R., 979",-23599855,-46642433,VILA CLEMENTINO
605,JD  MITSUTANI-ESF,"FREI XISTO TEUBER,R,50",-23641910,-46780622,JD MITSUTANI
606,JD  MITSUTANI-NASF,"FREI XISTO TEUBER,R,50",-23641910,-46780622,JD MITSUTANI
607,JD AURORA - SAD,"CLAUDIO DA COSTA,R,54",-23536022,-46417378,JD AURORA
608,JD BRASILIA-SAD,"OSVALDO VALLE CORDEIRO,AV,245",-23554330,-46491506,JD. BRASILIA
609,JD CAMARGO NOVO-SAD,"GENERAL PEREIRA DE BERREDO,R.,275",-23503315,-46385211,JD. CAMARGO NOVO
610,JD CAMPOS - NASF,"CRESCENTE,R,97",-23511853,-46408536,COHAB NAZARE
611,JD CASTRO ALVES-ESF,"JOAO PAULO BARRETO,R,131",-23741988,-46686264,JD. CASTRO ALVES
612,JD CASTRO ALVES-PAI,"JOAO PAULO BARRETO,R,131",-23741988,-46686264,JD. CASTRO ALVES
613,JD CID PIRITUBA-ESF,"FEIZ ZARZUR,COM,S/N",-23477060,-46720504,JD. CIDADE PIRITUBA
614,JD COLORADO(DR JOSE PIRES) - SAD,"JOSE DE ARAUJO VIEIRA,R,61",-23626011,-46463245,JD. RODOLFO PIRAN
615,JD COMERCIAL-NASF,"COSTA NOVA DO PRADO,R,92",-23671014,-46779087,JD. COMERCIAL
616,JD COPA-NASF,"PONTA DE LUCENA,R,330",-23561903,-46456902,JD MARABA
617,JD DA CONQUISTA II - NASF,"SOMOS TODOS IGUAIS,R, 330",-23608385,-46452307,SAO MATEUS
618,JD DA SAUDE (NEUSA ROSALIA MORALES)-ESF,"DOMINGOS DE ROGATIS,R,187",-23612160,-46615556,JD. DA SAUDE
619,JD D'ABRIL-NASF,"PAULO MARANHAO,R,444",-23575297,-46774920,JD. D'ABRIL
620,JD DAS PEDRAS - ESF,"CLOVIS SALGADO,R,220",-23418473,-46589715,JD DAS PEDRAS
621,JD ELIANE-ESF,"HENRY ARTHUR JONES,R,201",-23753251,-46670598,JD. ELIANA
622,JD ELIANE-NASF,"HENRY ARTHUR JONES,R,201",-23753251,-46670598,JD. ELIANA
623,JD EMBURA - NASF,"BENEDITO SCHUNCK,ESTR,08",-23879324,-46743255,JD EMBURA
624,JD FONTALIS-ESF,"ANTONIO PICCAROLO,R, 41",-23435291,-46580104,JD TREMEMBE
625,JD GRIMALDI - SAD,"PEDRO DE CASTRO VELHO,R,523",-23591570,-46515914,V BANCARIA
626,JD GUANABARA- APD,"PETRONIO PORTELA,MIN,AV,663",-23492812,-46700579,FREGUESIA DO O
627,JD GUANABARA- SAD,"PETRONIO PORTELA,MIN,AV,663",-23492812,-46700579,FREGUESIA DO O
628,JD GUARANI-NASF,"SANTANA DO ARACUAI,R,160",-23461814,-46690298,JD. GUARANI
629,JD HELIAN-ESF,"CARMEM CARDOSO BORDINI,R,184",-23576490,-46455845,JD. HELIAN
630,JD INDAIA-NASF,"ANTONIO LEME DA GUERRA,R,182",-23515128,-46397352,ITAIM PAULISTA
631,JD IVA- ESF,"MIGUEL BASTOS SOARES,R,365",-23583678,-46516140,JD. IVA
632,JD JAPAO-SAD,"SOBRAL JUNIOR,R,452",-23505151,-46588562,V MARIA ALTA
633,JD LIDIA-NASF,"GUTEMBERG JOSE FERREIRA,R,500",-23664866,-46762163,JD. LIDIA
634,JD LOURDES - NASF,"ARMANDO DE ARRUDA PEREIRA,ENG,AV, 4004",-23659608,-46636549,JABAQUARA
635,JD MAIA-ESF,"MARFIM VEGETAL,R,108",-23491745,-46415317,JD. MAIA
636,JD MAIA-NASF,"MARFIM VEGETAL,R,108",-23491745,-46415317,JD. MAIA
637,JD MARCELO - APD,"GASTAO RAUL DE FOURTON BOUSQUET,R,377",-23655166,-46770652,JD. MARCELO
638,JD NITEROI-NASF,"SAMUEL ARNOLD,R,596",-23681896,-46667627,JD. NITEROI
639,JD OLINDA - NASF,"CANORI,R,190",-23628223,-46755627,JD OLINDA
640,JD PANAMERICANO- ESF,"BARRA DA FORQUILHA,R,38",-23450292,-46729127,JD PANAMERICANO
641,JD REPUBLICA-APD,"GONCALO DE P GOMES,AV,285",-23714602,-46687124,JD REPUBLICA
642,JD REPUBLICA-ESF,"GONCALO DE P GOMES,AV,285",-23714602,-46687124,JD REPUBLICA
643,JD RINCAO - NASF,"ARROIO DA PALMA, R., 67",-23434719,-46727222,JARDIM RINCAO
644,JD ROBRU-NASF,"JOSE MARIA ALVES DE DEUS,R,288",-23520752,-46411973,JD ROBRU
645,JD S BENTO-NASF,"JOAO ROBALO,R,,64",-23678650,-46779105,JD. SAO BENTO
646,JD S CARLOS - SAD,"MACABU,R,35",-23557468,-46412487,JD. SAO CARLOS
647,JD S FRANCISCO-ESF,"JURITI PIRANGA,R,195",-23497050,-46530048,JD. SAO FRANCISCO
648,JD S JORGE-ESF,"ANGELO APARECIDO DOS SANTOS DIAS,R,331",-23592156,-46783270,JD. SAO JORGE
649,JD S NICOLAU-NASF,"REBELO DA SILVA,R,121",-23525972,-46479426,JD S NICOLAU
650,JD SILVIA TELES-NASF,"JOSE ALEXANDRE MACHADO,R,541",-23499849,-46408327,ITAIM PAULISTA
651,JD SOARES-ESF,"FELICIANO DE MENDONCA,R,496",-23553491,-46398068,JD. SOARES
652,JD SOARES-NASF,"FELICIANO DE MENDONCA,R,496",-23553491,-46398068,JD. SOARES
653,JD STA MARGARIDA-NASF,"CAPAO REDONDO,R,175",-23676735,-46754586,PQ SANTO AMARO
654,JD STA MARIA-ESF,"EMBIRATAI,R,201",-23550329,-46505411,V TALARICO
655,JD STA TEREZINHA-ESF,"LATINOS,DOS,AV,205",-23571695,-46503094,JD. SANTA TEREZINHA
656,JD STA TEREZINHA-NASF,"LATINOS,DOS,AV,205",-23571695,-46503094,JD. SANTA TEREZINHA
657,JD THOMAS-NASF,"AUDALIO GONCALVES DOS SANTOS,R,158",-23673519,-46756017,JD. THOMAS
658,JD TIETE I - ESF/UBS,"ENGENHO NOVO,AV,120",-23598225,-46494531,JD. TIETE
659,JD TIETE I - NASF,"ENGENHO NOVO,AV,120",-23598225,-46494531,JD. TIETE
660,JD TIETE II -SAD,"AUGUSTO FERREIRA RAMOS,R,9",-23586723,-46491950,S MATHEUS
661,JD VALQUIRIA- NASF,"CARLOS LACERDA,AV,3093",-23657315,-46774783,JD VALQU-RIA
662,JD VERA CRUZ-CONS.RUAATIV/UBS (PERDIZES),"SARAMENHA,R,61",-23538231,-46688593,PERDIZES
663,JD VERA CRUZ-PAI,"SARAMENHA,R,61",-23538231,-46688593,PERDIZES
664,JD VISTA ALEGRE-ESF,"IBIRAIARAS,R,21",-23449865,-46684441,JD. VISTA ALEGRE
665,JOAQUIM ANTONIO EIRADO-CONS RUA ATIV/UBS,"BRAS LEME,AV,2945",-23502852,-46631123,SANTANA
666,JOAQUIM ANTONIO EIRADO-CONS RUA EQUIPE,"BRAS LEME,AV,2945",-23502852,-46631123,SANTANA
667,JOAQUIM ANTONIO EIRADO-ESF,"BRAS LEME,AV,2945",-23502852,-46631123,SANTANA
668,JOAQUIM ANTONIO EIRADO-PAI,"BRAS LEME,AV,2945",-23502852,-46631123,SANTANA
669,JOAQUIM ANTONIO EIRADO-SAD,"BRAS LEME,AV,2945",-23502852,-46631123,SANTANA
670,JOSE DE BARROS MAGALDI-ESF,"SALVADOR CARDOSO,R,177",-23587193,-46684651,ITAIM BIBI
671,JOSE DE BARROS MAGALDI-PAI,"SALVADOR CARDOSO,R,177",-23587193,-46684651,ITAIM BIBI
672,JOSE DE TOLEDO PIZA-PAI,"ANTONIO CESAR NETO,R,387",-23460688,-46582750,JACANA
673,JOSE DE TOLEDO PIZA-SAD,"ANTONIO CESAR NETO,R,387",-23460688,-46582750,JACANA
674,"JOSE MARCILIO MALTA CARDOSO,DR-ESF","BERNARDO GUERTZENSTEIM,DR,R,45",-23572294,-46760716,RIO PEQUENO
675,JOSE S RIBEIRO (V ANGLO BRASILEIRO)-CONS RUA ATIV/UBS,"TURIASSU,R,1765",-23528532,-46678803,PQ. ANTARTICA
676,JOSE STOROPOLLI - SAD/HOSP,"FRANCISCO FANGANIELLO,R,127",-23521684,-46561784,PARQUE NOVO MUNDO
677,LAB AFIP,"NAPOLEAO DE BARROS, R., 925",-23598972,-46643650,VILA CLEMENTINO
678,LAB BIOFAST,"ANTONIO DAS CHAGAS, R., 1328",-23627913,-46704872,CHACARA SANTO ANTONIO
679,LAR ESCOLA SAO FRANCISCO,"DOS ACORES, R., 310",-23596834,-46660088,JARDIM LUSITANIA
680,LAUSANE PAULISTA-ESF,"VALORBE,R,80",-23474762,-46641340,LAUZANE PTA
681,"LUIZ AUGUSTO DE CAMPOS,DR-NASF","AUGUSTO ANTUNES,R,1631",-23519997,-46463514,LIMOEIRO
682,LUIZ E MAZZONI-ESF,"CARLOS LIVIERO,AV,566",-23644407,-46592646,V  LIVIERO
683,M' BOI MIRIM - SAD,"ESTRADA M' BOI MIRIM,5203",-23691629,-46775158,JARDIM ANGELA
684,"MANOEL J PERA,DR-CONS RUA ATIV","PURPURINA,R,280",-23553241,-46690743,V  MADALENA
685,MANOEL SALDIVA NETO -CONS RUA ATIVIDADE/UBS,"SAMPSON,R,61",-23537638,-46611643,BRAS
